"","Summons.Number","Plate.ID","Registration.State","Plate.Type","Issue.Date","Violation.Code","Vehicle.Body.Type","Vehicle.Make","Issuing.Agency","Street.Code1","Street.Code2","Street.Code3","Vehicle.Expiration.Date","Violation.Location","Violation.Precinct","Issuer.Precinct","Issuer.Code","Issuer.Command","Issuer.Squad","Violation.Time","Time.First.Observed","Violation.County","Violation.In.Front.Of.Or.Opposite","House.Number","Street.Name","Intersecting.Street","Date.First.Observed","Law.Section","Sub.Division","Violation.Legal.Code","Days.Parking.In.Effect","From.Hours.In.Effect","To.Hours.In.Effect","Vehicle.Color","Unregistered.Vehicle.","Vehicle.Year","Meter.Number","Feet.From.Curb","Violation.Post.Code","Violation.Description","No.Standing.or.Stopping.Violation","Hydrant.Violation","Double.Parking.Violation","Latitude","Longitude","Community.Board","Community.Council","Census.Tract","BIN","BBL","NTA"
"7044092",7768578648,"5AW8814","MD","PAS","01/30/2016",14,"4DSD","HONDA","T",16890,50890,29490,20171088,115,115,115,363042,"T401","U","0230P","","Q","F","40-48","82nd St","",0,408,"c","","YYYYYYY","","","GREY","",0,"",0,"22-A","14-No Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4742171",8046834142,"63467JM","NY","COM","11/16/2015",20,"VAN","INTER","T",21730,32990,33690,88888888,6,6,6,355538,"T101","G","1054A","1023A","NY","O","244","Greene St","",20151116,408,"d","","YYYYY","0800A","0600P","BROWN","",1995,"",0,"33 1","20-No Parking (Com Plate)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6750417",8047987604,"GXB3813","NY","PAS","02/16/2016",20,"PICK","TOYOT","T",11710,0,0,20170610,34,34,34,345331,"T103","A","0559A","","NY","I","E","Amsterdam Ave","60ft S/of W 189th St",0,408,"d","","YYYYYYY","","","WH","",2007,"",0,"N 77","20A-No Parking (Non-COM)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9463609",8083527520,"NSA815","AL","PAS","05/19/2016",14,"4DSD","FORD","T",19470,0,0,20170488,25,25,25,347593,"T103","B","0746A","","NY","I","S","E 126th St","65ft E/of Lexington",0,408,"c","","YYYYY","0700A","1000A","BLACK","",0,"",0,"B 77","14-No Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2136433",8021358944,"CX288W","NY","PAS","08/07/2015",21,"4DSD","NISSA","T",66230,95030,19530,20160607,94,94,94,358226,"T301","C","0914A","","K","F","96","N 6th St","",0,408,"d1","","Y  Y","0900A","1030A","GY","",2014,"",0,"18 3","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4929571",7003876760,"GYK5413","NY","PAS","12/04/2015",14,"4DSD","LEXUS","T",21740,0,0,20170608,109,109,109,331832,"T401","M","0732A","","Q","I","E","127th St","20ft N/of 6th Ave",0,408,"c","","YYYYYYY","","","BK","",1999,"",0,"C 41","14-No Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9997181",8179019755,"59616MB","NY","COM","05/18/2016",38,"VAN","FORD","T",6880,8930,8980,20161231,66,66,66,349839,"T302","B","1053A","","K","F","4722","18th Ave","",0,408,"h1","","YYYY","0830A","0700P","WH","",2012,"",0,"40 3","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4782115",1399837217,"GZF7010","NY","PAS","11/10/2015",58,"SUBN","CHRYS","P",42820,52720,74510,20170609,46,46,46,952676,"0046","0000","1145A","","BX","O","1829","JEROME AVE","",0,408,"E2","","BBBBBBB","ALL","ALL","BLUE","0",2007,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3647385",8039913470,"68092JZ","NY","COM","09/30/2015",53,"DELV","HINO","T",10810,34370,34390,20160228,10,10,10,359286,"T102","F","0836A","","NY","F","411","8th Ave","",0,408,"f6","","","","","WHITE","",2010,"",0,"10 6","53-Safety Zone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4200954",4612851213,"VDM5527","VA","PAS","11/13/2015",36,"4D","HONDA","V",0,0,0,0,NA,0,0,0,"","","0534P","","","","","NB OCEAN PKWY @ AVE","S",0,1180,"B","T","","","","GRY","",2002,"",0,"","PHTO SCHOOL ZN SPEED VIOLATION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5105323",8028976050,"HCW9163","NY","PAS","11/28/2015",38,"SUBN","CHEVR","T",54070,80330,56030,20160110,79,79,79,362534,"T301","E","0343P","","K","F","271","Kingston Ave","",0,408,"h1","","Y","0900A","0700P","BLACK","",2014,"",0,"09 3","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5785986",7094673218,"39313MA","NY","COM","01/14/2016",69,"VAN","CHEVR","T",28870,13610,27100,20170930,1,1,1,348624,"T105","X","0717A","","NY","F","9","Pine St","",0,408,"h1","","YYYYY","0700A","0700P","WHITE","",2011,"",0,"084","69-Failure to Disp Muni Recpt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"691315",7806796666,"82730JD","NY","COM","07/07/2015",19,"DELV","FRUEH","T",9140,0,0,20160531,109,109,109,361114,"T401","Q","1031A","","Q","I","N","39th Ave","45ft E/of Main St",0,408,"c3","","YYYYYYY","","","GREEN","",0,"",0,"02 4","19-No Stand (bus stop)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8435587",7469588267,"GYA9553","NY","PAS","04/19/2016",21,"4DSD","ACURA","T",21340,17040,17190,20170403,102,102,102,361861,"T402","B","1023A","","Q","F","84-42","120th St","",0,408,"d1","","Y","1000A","1130A","BK","",2012,"",0,"34 4","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6639663",7776286590,"41100MC","NY","CBS","02/13/2016",40,"VAN","FORD","T",17570,0,0,88888888,17,17,17,331220,"T102","A","0628A","","NY","I","S","E 29th St","10ft W/of 1st Ave",0,408,"e2","","YYYYYYY","","","WHITE","",2011,"",0,"C 17","40-Fire Hydrant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4360074",7362445805,"S65CWH","NJ","PAS","11/07/2015",14,"4DSD","TOYOT","T",34590,0,0,88888888,18,18,18,347656,"T108","B","1143P","","NY","I","N","W 41st St","200ft E/of 12th Ave",0,408,"c","","YYYYYYY","0600P","1030A","WHITE","",0,"",0,"01 8","14-No Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5772852",7041854152,"JVA7457","PA","PAS","01/20/2016",38,"4DSD","ACURA","T",76950,52320,38520,20160388,43,43,43,358563,"T202","S","0927A","","BX","F","1630","Westchester Ave","",0,408,"h1","","Y","0830A","0700P","BLUE","",0,"",0,"A 22","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63719",4608524604,"GKU6241","NY","PAS","07/07/2015",36,"SUBN","FORD","V",0,0,0,0,NA,0,0,0,"","","0928A","","","","","WB QUEENS BLVD @ 36T","H ST",0,1180,"B","T","","","","BL","",2014,"",0,"","PHTO SCHOOL ZN SPEED VIOLATION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3968961",7776263989,"N88ECH","NJ","PAS","10/25/2015",14,"4DSD","ME/BE","T",34370,10410,13610,88888888,14,14,14,331220,"T102","A","1119A","","NY","F","10","W 30th St","",0,408,"c","","YYYYYYY","","","WHITE","",0,"",0,"F 17","14-No Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5795634",7176985080,"GZR5503","NY","PAS","12/31/2015",70,"SUBN","ME/BE","T",50165,40404,40404,88888888,120,120,120,355111,"T303","X","0956A","","R","F","465","Sturges St","",0,408,"j3","","","","","WHITE","",0,"",0,"01-A","70-Reg. Sticker Missing (NYS)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3817700",7034614623,"GXX4994","NY","PAS","10/31/2015",21,"4DSD","HONDA","T",13610,0,0,20170608,33,33,33,349850,"T103","AA","0750A","","NY","I","W","Broadway","30ft N/of W 156th St",0,408,"d1","","Y","0730A","0800A","BK","",1998,"",0,"O 77","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1976110",4609505630,"GYV3628","NY","PAS","09/16/2015",36,"SUBN","CHEVR","V",0,0,0,0,NA,0,0,0,"","","1222P","","","","","SB GRAND CONCOURSE @","E 203RD ST",0,1180,"B","T","","","","BL","",2015,"",0,"","PHTO SCHOOL ZN SPEED VIOLATION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5461430",7808274495,"D28ESE","NJ","PAS","12/28/2015",37,"SUBN","CHRYS","T",14780,35730,35780,88888888,61,61,61,354029,"T302","J","0316P","1200P","K","F","2110","Avenue X","",20151228,408,"h1","","Y","0900A","0700P","WHITE","",0,"357-3006",0,"N 32","37-Expired Muni Meter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9523989",8290517683,"GZH1416","NY","PAS","04/29/2016",75,"SUBN","PORSC","T",41620,46620,16120,20170115,41,41,41,355598,"T202","N","1106A","","BX","F","665","Hunts Point Ave","",0,408,"j5","","","","","GY","",2006,"",0,"E 22","75-No Match-Plate/Reg. Sticker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"653846",7562375215,"AK913C","NJ","PAS","07/20/2015",14,"DELV","FRUEH","T",13590,25900,30650,88888888,1,1,1,347684,"T105","J","0823A","","NY","F","80","Broad St","",0,408,"c","","YYYYYYY","","","GREEN","",0,"",0,"123","14-No Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8269335",1407970847,"GVB6826","NY","PAS","03/26/2016",67,"","FORD","P",0,0,0,20170212,114,114,114,959214,"0114","0000","0910A","","Q","","","20 AVE","W 27 ST",0,408,"E2","","BBBBBBB","ALL","ALL","WHITE","0",1995,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5706419",4615271608,"L86FCU","NJ","PAS","01/13/2016",36,"4 DR","MAZDA","V",0,0,0,0,NA,0,0,0,"","","1028A","","","","","NB ADAM CLAYTN PWL J","R BV W147 ST - W151",0,1180,"B","T","","","","GY","",2007,"",0,"","PHTO SCHOOL ZN SPEED VIOLATION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
