"","Summons.Number","Plate.ID","Registration.State","Plate.Type","Issue.Date","Violation.Code","Vehicle.Body.Type","Vehicle.Make","Issuing.Agency","Street.Code1","Street.Code2","Street.Code3","Vehicle.Expiration.Date","Violation.Location","Violation.Precinct","Issuer.Precinct","Issuer.Code","Issuer.Command","Issuer.Squad","Violation.Time","Time.First.Observed","Violation.County","Violation.In.Front.Of.Or.Opposite","House.Number","Street.Name","Intersecting.Street","Date.First.Observed","Law.Section","Sub.Division","Violation.Legal.Code","Days.Parking.In.Effect","From.Hours.In.Effect","To.Hours.In.Effect","Vehicle.Color","Unregistered.Vehicle.","Vehicle.Year","Meter.Number","Feet.From.Curb","Violation.Post.Code","Violation.Description","No.Standing.or.Stopping.Violation","Hydrant.Violation","Double.Parking.Violation","Latitude","Longitude","Community.Board","Community.Council","Census.Tract","BIN","BBL","NTA"
"5388026",7039020154,"EBN7783","NY","PAS","02/25/2014",40,"SUBN","HYUND","T",36390,0,0,20150925,26,26,26,356335,"T103","M","0250P","","NY","I","N","W 131st St","60ft E/of Broadway",0,408,"e2","","YYYYYYY","","","GY",NA,2005,"",8,"C 77","40-Fire Hydrant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8623393",1364923970,"CDEE48","FL","PAS","05/17/2014",40,"P-U","FORD","X",40030,75230,32030,20141231,83,83,83,952757,"0083","0000","1232A","","K","F","675","EVERGREEN AVE","",0,408,"D","","BBBBBBB","ALL","ALL","YELLO",0,2004,"-",2,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7935532",7313109519,"80904MA","NY","COM","05/13/2014",16,"VAN","FORD","T",18290,10210,10110,20150331,19,19,19,353431,"T103","CC","1037A","0953A","NY","O","220","E 65th St","",20140513,408,"k2","","Y","0800A","0700P","WH",NA,2011,"",0,"10 7","16-No Std (Com Veh) Com Plate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8102209",7814373244,"DGH5123","NY","PAS","05/05/2014",37,"SUBN","CHEVR","T",25390,18530,18550,20150714,19,19,19,358635,"T103","P","0357P","0139P","NY","F","998","Madison Ave","",0,408,"h1","","Y","0900A","0700P","GREY",NA,2002,"118-4603",0,"07 7","37-Expired Muni Meter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7272134",7919971469,"92438JY","NY","COM","04/24/2014",14,"DELV","INTER","T",17770,0,0,20150331,17,17,17,349851,"T106","L","0400P","","NY","I","S","E 39th St","15ft E/of Lexington",0,408,"c","","YYYYYYY","","","WH",NA,2010,"",0,"88 6","14-No Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7398849",7000166630,"GMR3972","NY","PAS","05/12/2014",14,"SUBN","GMC","T",64290,42490,6940,20160421,114,114,114,357703,"T401","G","0529P","","Q","F","22-23","Steinway St","",0,408,"c","","Y","0900A","0700P","BL",NA,2008,"",0,"35 4","14-No Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4134074",7907361047,"AF69015","PA","PAS","12/09/2013",16,"FLAT","INTER","T",34690,0,0,20140588,18,18,18,349475,"T502","J","0305P","0229P","NY","I","S","W 46th St","30ft E/of 11th Ave",0,408,"k2","","Y","0800A","0700P","GREEN",NA,0,"",0,"03 -","16-No Std (Com Veh) Com Plate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1572621",7937508206,"DPK5165","NY","PAS","09/04/2013",20,"VAN","FORD","T",16150,24010,19890,20140331,5,5,5,351995,"T101","G","1131A","","NY","F","134","Crosby St","",0,408,"d","","YYYYY","0800A","0600P","GY",NA,2003,"",0,"38 -","20A-No Parking (Non-COM)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3465126",1356268286,"80632JW","99","COM","11/20/2013",19,"DELV","","P",40930,37130,37130,0,63,63,63,938659,"0063","0000","1242P","","K","O","2439","FLATBUSH AVE","",0,408,"E1","","BBBBBBB","ALL","ALL","BROWN",0,2007,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6566324",7154349025,"MH8256","NC","PAS","04/14/2014",19,"DELV","FRUEH","T",56490,38490,48495,20140188,104,104,104,358660,"T401","D","1058A","","Q","F","56-49","Myrtle Ave","",0,408,"c3","","YYYYYYY","","","WHITE",NA,0,"",0,"62-A","19-No Stand (bus stop)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5736002",7274352635,"ZEF6460","NY","ITP","03/06/2014",20,"4DSD","HONDA","T",17230,10110,10010,20140328,9,9,9,358579,"T105","H","0311P","","NY","O","325","E 12th St","",0,408,"d","","YYYYYYY","0700A","0400P","SILVE",NA,2001,"",0,"078","20A-No Parking (Non-COM)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5536657",7801570091,"CJN5707","NY","PAS","02/07/2014",37,"SUBN","INFIN","T",68290,0,0,20150417,114,114,114,358206,"T401","K","1117A","1005A","Q","F","60-10","Woodside Ave","55-51-69st 104pct",0,408,"h1","","Y","0900A","0700A","RD",NA,1999,"420-3011",0,"62-A","37-Expired Muni Meter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8923802",7677553503,"CEL6420","NC","PAS","05/30/2014",37,"SUBN","BMW","T",19690,9540,9690,20150288,110,110,110,359327,"T401","F","0457P","0444P","Q","O","41-07","103rd St","",0,408,"h1","","YYYYYYY","","","BLACK",NA,0,"419-3035",0,"17-P","37-Expired Muni Meter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"432565",1354602468,"EUT4103","NY","PAS","07/17/2013",98,"SUBN","KIA","P",6080,72530,6730,20130913,72,72,72,942921,"0072","0000","0545P","","K","F","1515","10TH AVE","",0,408,"D","","BBBBBBB","ALL","ALL","GOLD",0,2006,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43470",1359281125,"HMN2121","PA","PAS","08/13/2013",21,"SDN","LINCO","S",16430,10880,19030,0,62,62,0,920317,"KS11","0000","0843A","","K","F","95","BAY 20TH ST","",0,408,"D1","","BYBBBBB","0830A","1000A","SL",0,0,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3844582",7991597933,"AP547J","NJ","PAS","12/04/2013",53,"DELV","INTER","T",36170,11710,13610,20130088,25,25,25,330076,"T103","AA","0842A","","NY","O","530","W 120th St","",0,408,"f6","","","","","WHITE",NA,0,"",0,"F -","53-Safety Zone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1150214",7880708509,"85146JU","NY","COM","09/23/2013",69,"VAN","GMC","T",17910,0,0,88888888,18,18,18,353094,"T102","A","1018A","","NY","I","S","E 46th St","55ft W/of 5th Ave",0,408,"h1","","YYYYY","0700A","0600P","WHITE",NA,0,"",0,"MC -","69-Failure to Disp Muni Recpt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"371719",7922070123,"WXH7236","VA","PAS","08/09/2013",14,"4DSD","FORD","T",14590,23130,21690,20130088,5,5,5,357088,"T101","F","0138P","","NY","F","224","Centre St","",0,408,"c","","YYYYYYY","0700A","0700P","BLUE",NA,0,"",0,"74 -","14-No Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"876419",5070405111,"GEK2678","NY","PAS","08/30/2013",7,"4DSD","NISSA","V",0,0,0,0,NA,0,0,0,"","","1242P","","","","","LINDEN BLVD. (W/B)@","FOUNTAIN AVE.-KO-3",0,1111,"D","T","","","","BK",NA,2009,"",0,"","FAILURE TO STOP AT RED LIGHT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"505407",7037377181,"EXP8159","NY","PAS","08/18/2013",71,"4DSD","TOYOT","T",34810,11720,11110,20140318,18,18,18,358128,"T503","E1","0938A","","NY","F","510","W 52nd St","",0,408,"j6","","YYYYYYY","","","BK",NA,2007,"",0,"17 -","71A-Insp Sticker Expired (NYS)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7292452",7980601415,"66232JS","NY","COM","04/24/2014",14,"VAN","INTER","T",34570,10510,13610,20140831,14,14,14,345540,"T106","X","0936A","","NY","F","119","W 40th St","",0,408,"c","","YYYYY","0700A","1000A","WHITE",NA,2005,"",0,"99 6","14-No Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7998485",7577930544,"81457MD","NY","COM","05/06/2014",69,"VAN","MI/F","T",27790,18050,18070,20151231,18,18,18,353070,"T503","E1","0248P","","NY","F","390","Park Ave","",0,408,"h1","","YYYYY","1000A","0400P","WH",NA,2013,"",0,"CC1","69-Failure to Disp Muni Recpt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8040768",7708689879,"ELJ6457","NY","PAS","05/08/2014",37,"SUBN","TOYOT","T",11710,35670,35690,20141130,24,24,24,358647,"T103","N","0253P","0243P","NY","F","728","Amsterdam Ave","",0,408,"h1","","Y","0900A","0700P","GREY",NA,2009,"103-8129",0,"52 7","37-Expired Muni Meter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2816906",7422352668,"514165","NY","PAS","10/31/2013",40,"SUBN","TOYOT","T",27990,0,0,20150515,52,52,52,354117,"T201","E","0929A","","BX","I","N","E 212th St","145ft W/of Dekalb Av",0,408,"e2","","YYYYYYY","","","TAN",NA,2003,"",8,"16 -","40-Fire Hydrant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6461493",1367575096,"GDN9540","NY","PAS","04/05/2014",20,"SDN","ME/BE","P",35730,14530,14580,20150114,70,70,70,955070,"0070","0000","0710P","","K","O","2056","E 21 ST","",0,408,"C","","BBBBBBB","ALL","ALL","GREEN",0,1989,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5241590",7742337540,"426KY9","MA","PAS","02/14/2014",31,"SUBN","VOLVO","T",13610,29290,19890,20150988,5,5,5,358925,"T105","D","0504P","","NY","F","578","Broadway","",0,408,"l3","","YYYYY","0700A","0600P","GREY",NA,0,"",0,"086","31-No Stand (Com. Mtr. Zone)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4469191",7798684967,"GFS8410","NY","PAS","12/31/2013",20,"4DSD","HONDA","T",11820,76950,26820,20150311,43,43,43,359328,"T202","D","0118P","","BX","F","1285","Beach Ave","",0,408,"d","","YYYYY","0800A","0600P","GY",NA,2012,"",0,"14A","20A-No Parking (Non-COM)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3608452",7143563304,"GCK5082","NY","PAS","12/09/2013",21,"4DSD","VOLKS","T",13240,59990,19090,20141015,112,112,112,357096,"T401","A","0836A","","Q","O","97-52","64th Ave","",0,408,"d1","","Y","0830A","1000A","BK",NA,2013,"",0,"53-A","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7583573",7659353196,"61650JU","NY","COM","05/08/2014",38,"VAN","FORD","T",24890,18390,18410,20150831,19,19,19,355672,"T103","Q","0131P","","NY","O","966","Lexington Ave","",0,408,"h1","","YYYYY","1000A","0700P","WH",NA,2006,"",0,"C 77","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4371408",7488703571,"XT830F","NJ","PAS","01/11/2014",82,"VAN","FRUEH","T",14590,23130,21690,88880088,5,5,5,348573,"T101","B","0935A","","NY","F","216","Centre St","",0,408,"k1","","","","","WHITE",NA,0,"",0,"06 -","82-Unaltered Commerc Vehicle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4371854",7397423190,"GJP3026","NY","PAS","01/28/2014",67,"SUBN","ACURA","T",27000,59520,49120,20151202,48,48,48,331938,"T201","X","0131P","","BX","O","760","E 178th St","",0,408,"f7","","","","","TN",NA,2002,"",0,"50 -","67-Blocking Ped. Ramp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192134",7353467990,"72594JZ","NY","COM","08/02/2013",18,"PICK","GMC","T",10110,18530,18550,20131231,19,19,19,355218,"T103","A","0724A","","NY","O","1486","2nd Ave","",0,408,"f4","","YYYYY","0700A","1000A","WH",NA,2011,"",0,"C -","18-No Stand (bus lane)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3181993",7188744816,"FZC8223","NY","PAS","11/04/2013",37,"SUBN","HONDA","T",0,40404,40404,20140531,46,46,46,331464,"T201","F","0127P","0119P","BX","F","120","Mount Eden Ave","",0,408,"h1","","Y","0830A","0700P","GY",NA,2004,"219-3003",0,"29 -","37-Expired Muni Meter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5045778",7057845972,"41967JM","NY","COM","02/06/2014",69,"VAN","CHEVR","T",27790,17990,18010,88888888,17,17,17,346218,"T106","J","0156P","","NY","F","320","Park Ave","",0,408,"h1","","YYYYY","1000A","0400P","WHITE",NA,1994,"",0,"18 -","69-Failure to Disp Muni Recpt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102482",7029811306,"EFP3029","NY","PSD","08/03/2013",38,"4DSD","HONDA","T",5580,6130,6230,20140608,78,78,78,358243,"T302","B","0248P","","K","O","461","5th Ave","",0,408,"h1","","Y","0830A","0700P","WHITE",NA,2012,"",0,"56 -","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5795454",7539996250,"GHF4453","NY","PAS","03/18/2014",16,"SUBN","AUDI","T",92430,65530,61130,20150607,94,94,94,355121,"T301","B","0403P","","K","F","67","West St","",0,408,"k2","","Y","0800A","0600P","WH",NA,2013,"",0,"17 3","16A-No Std (Com Veh) Non-COM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1496360",7701344380,"CYE9582","NY","PAS","08/29/2013",37,"SUBN","PLYMO","T",14080,67030,36180,20141003,63,63,63,356216,"T302","D","0120P","0111P","K","F","3013","Avenue J","",0,408,"h1","","Y","0900A","0700P","RD",NA,1999,"304-3187",0,"18 -","37-Expired Muni Meter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5690329",7096562643,"36851MA","NY","COM","03/25/2014",37,"PICK","GMC","T",64290,7790,7990,20150331,114,114,114,357707,"T401","Q","0252P","0244P","Q","F","30-59","Steinway St","",0,408,"h1","","Y","0800A","0700P","BK",NA,2014,"407-3001",0,"24 4","37-Expired Muni Meter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5262543",7845908927,"ZDR1906","PA","PAS","02/20/2014",69,"VAN","CHEVR","T",18190,10410,25390,20140088,18,18,18,350310,"T106","C","0746A","","NY","F","14","E 60th St","",0,408,"h1","","Y","0700A","0700P","GREY",NA,0,"",0,"99 6","69-Failure to Disp Muni Recpt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4601844",1361162340,"31362PC","NY","COM","12/14/2013",78,"TRTR","VOLVO","P",20890,0,0,0,113,113,113,944592,"0113","0000","0045A","","Q","O","","116 AVE","VAN WYCK AVE",0,408,"F7","","BBBBBBB","ALL","ALL","WHT",0,0,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8189651",8001360155,"97816JZ","NY","COM","05/12/2014",14,"DELV","WORKH","T",61830,48830,27530,88888888,84,84,84,337779,"T301","A","1052A","","K","F","129","Montague St","",0,408,"c","","YYYYYYY","","","BROWN",NA,2009,"",0,"02 3","14-No Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3848137",7962725059,"8HASSEL","NY","SRF","12/11/2013",38,"4DSD","BMW","T",51090,18240,18390,20150331,102,102,102,350334,"T402","B","0411P","","Q","F","9001","Jamaica Ave","",0,408,"h1","","Y","0800A","0700P","WH",NA,2013,"",0,"17 -","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7659682",7906779745,"48782MC","NY","COM","05/12/2014",69,"VAN","FORD","T",25390,0,0,20140731,18,18,18,355642,"T106","M","0546P","","NY","I","W","Madison Ave","25ft S/of E 58th St",0,408,"h1","","Y","0700A","0700P","BL",NA,2012,"",0,"21 6","69-Failure to Disp Muni Recpt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1996074",7953871695,"GHP2840","NY","PAS","10/19/2013",70,"SUBN","FORD","T",29320,24020,61720,20151016,52,52,52,358632,"T201","E","1042A","","BX","F","51","E Gun Hill Rd","",0,408,"j3","","","","","BL",NA,0,"",0,"06 -","70B-Impropr Dsply of Reg (NYS)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2401149",7610437580,"FMB6446","NY","PAS","10/05/2013",20,"2DSD","ACURA","T",0,0,0,20150804,40,40,40,345999,"T720","D","0806A","","BX","I","E","Woodycrest Ave","100ft S/of W 167th S",0,408,"d","","Y","0800A","0600P","RD",NA,1999,"",0,"A -","20A-No Parking (Non-COM)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"580701",7207589177,"EXG1628","NY","PAS","08/12/2013",37,"SUBN","PONTI","T",17340,0,0,20140119,115,115,115,357694,"T401","O","0641P","0630P","Q","I","W","85th St","24ft S/of 37th St",0,408,"h1","","Y","0900A","0700P","SILVE",NA,1999,"412-2378",0,"P -","37-Expired Muni Meter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1950201",7845889398,"42747JW","NY","COM","10/09/2013",47,"VAN","INTER","T",18170,25390,27790,20140131,18,18,18,350310,"T106","C","0802A","","NY","F","55","E 59th St","",0,408,"l2","","Y","0700A","0700P","YW",NA,1990,"",0,"S4 -","47-Double PKG-Midtown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6450124",1366969443,"GLL3143","NY","PAS","03/13/2014",40,"SDN","CHRYS","P",10380,6280,6380,20160219,68,68,68,949982,"0068","0000","1110P","","K","F","1203","76 ST","",0,408,"E2","","BBBBBBB","ALL","ALL","BLK",0,2003,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8077393",7761433331,"FYB1511","NY","PAS","04/30/2014",70,"4DSD","VOLKS","T",20940,17040,17190,20140429,102,102,102,358855,"T402","G","0926A","","Q","O","84-52","116th St","",0,408,"j3","","YYYYYYY","","","BK",NA,2012,"",0,"21 4","70A-Reg. Sticker Expired (NYS)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3787938",7819140951,"48066MC","NY","COM","12/18/2013",14,"VAN","FRUEH","T",34470,10410,10510,88888888,14,14,14,355438,"T106","M","1026A","","NY","F","53","W 35th St","",0,408,"c","","YYYYYYY","","","WHITE",NA,2002,"",0,"99 -","14-No Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7292301",7977137800,"FFY7235","NY","PAS","03/28/2014",40,"SUBN","CHRYS","T",17050,12310,12410,20141213,6,6,6,356308,"T800","A2","1040P","","NY","O","327","E 3rd St","",0,408,"e2","","YYYYYYY","","","BLACK",NA,2004,"",0,"A 77","40-Fire Hydrant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8639360",1370179418,"FMJ6000","NY","PAS","05/16/2014",21,"SDN","HONDA","S",67730,41730,13980,20150603,66,66,0,527404,"KS12","0000","1217P","","K","F","770","OCEAN PKWY","",0,408,"D1","","BBBBYBB","1130A","0100P","GREEN",0,2009,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"597203",7223187311,"FRN5899","NY","PAS","08/20/2013",14,"SUBN","JEEP","T",14080,35380,35430,20131002,70,70,70,357789,"T302","D","0115P","","K","F","1301","Avenue J","",0,408,"c","","YYYYYYY","0700A","0700P","BK",NA,2004,"",0,"02 -","14-No Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8916479",7639582179,"2LX400","OK","PAS","05/28/2014",14,"VAN","NS/OT","T",23140,0,0,20140088,103,103,103,358221,"T402","H","1202P","","Q","I","E","148th St","5ft N/of 88th Ave",0,408,"c","","YYYYYYY","","","WHITE",NA,0,"",0,"02 4","14-No Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6363938",7938692013,"21254MC","NY","COM","03/25/2014",37,"SUBN","FORD","T",13460,21690,13810,20140630,5,5,5,358936,"T101","C","1224P","1213P","NY","F","141","Bowery","",0,408,"h1","","Y","1000A","0700P","GY",NA,0,"102-4258",0,"44 1","37-Expired Muni Meter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89241",5070071385,"T623581C","NY","OMT","08/11/2013",7,"4DSD","TOYOT","V",0,0,0,0,NA,0,0,0,"","","1118A","","","","","ATLANTIC AVE.(E/B)@L","OGAN ST.-LO-3",0,1111,"D","T","","","","GY",NA,2009,"",0,"","FAILURE TO STOP AT RED LIGHT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4868833",7863977964,"30079KA","NY","COM","01/28/2014",69,"UTIL","FRUEH","T",17410,0,0,20140531,13,13,13,358882,"T102","M","0318P","","NY","I","N","E 21st St","20ft E/of Broadway",0,408,"h1","","YYYYY","0800A","0600P","WH",NA,2007,"",0,"04 -","69-Failure to Disp Muni Recpt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8080561",7765462179,"7106151","NY","DLR","05/14/2014",46,"VAN","NS/OT","T",23640,0,0,20150831,105,105,105,350438,"T402","L","1103A","","Q","I","W","155th St","100ft N/of 145th Ave",0,408,"f1","","","","","WHITE",NA,0,"",0,"K 42","46A-Double Parking (Non-COM)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8161424",7969095290,"BMT8320","NY","PAS","05/10/2014",71,"SUBN","LEXUS","T",0,0,0,20140607,43,43,43,355198,"T202","Q","0940A","","BX","I","E","Powell Ave","30ft S/of Cross Bron",0,408,"j6","","YYYYYYY","","","BK",NA,1999,"",0,"P 23","71A-Insp Sticker Expired (NYS)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7832828",7057864267,"DLW1095","NY","PAS","05/19/2014",20,"SUBN","NISSA","T",17270,12110,12210,20151113,13,13,13,345238,"T102","A","0712A","","NY","F","505","E 14th St","",0,408,"d","","Y","0700A","0600P","RD",NA,2005,"",0,"D 17","20A-No Parking (Non-COM)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1951749",7845891605,"37031JV","NY","COM","10/23/2013",14,"DELV","INTER","T",25390,18070,18090,20140228,18,18,18,350310,"T106","C","0853A","","NY","O","543","Madison Ave","",0,408,"c","","YYYYYYY","","","WH",NA,2007,"",0,"S4 -","14-No Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4299649",7095359258,"GCL6088","NY","PAS","01/09/2014",21,"4DSD","LEXUS","T",18450,24890,10210,20141026,19,19,19,354043,"T103","G","0958A","","NY","F","149","E 73rd St","",0,408,"d1","","Y  Y","0900A","1030A","GY",NA,2013,"",0,"CC1","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4642513",7086781873,"FRL9674","NY","PAS","01/09/2014",40,"4DSD","HONDA","T",47625,0,0,20150724,62,62,62,333002,"T302","M","0845A","","K","I","E","Hart Pl","100ft S/of W 16th St",0,408,"e2","","YYYYYYY","","","WH",NA,1999,"",6,"W -","40-Fire Hydrant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
